In remarks with analysts Apple chief Tim Cook spotlighted growth in India where the firm is investing heavily and which he visited last...2 days ago, https://www.bbc.com/news/business-65487055
The tech giant reported drops in some product sales but surprised economic observers when it came to profits and revenues.2 days ago, https://news.sky.com/story/iphone-sales-buck-falling-electronics-demand-trend-12873241
Apple stock (AAPL) currently represents nearly 40% of Berkshire Hathaway's equity holdings. But speaking to Berkshire (BRK-A...1 day ago, https://finance.yahoo.com/news/warren-buffett-apple-is-not-35-of-berkshires-portfolio-175313329.html
The backlash to the proposal has been swift with many complaining of "tipping fatigue" in America.1 day ago, https://www.bbc.com/news/65503170
Apple reported second-fiscal quarter earnings on Thursday that beat Wall Street's soft expectations driven by stronger-than-anticipated...3 days ago, https://www.cnbc.com/2023/05/04/apple-aapl-earnings-report-q2-2023.html
Signs posted on locked doors told visitors that the AMC Classic Apple Valley 14 movie theatre had permanently closed.2 days ago, https://www.vvdailypress.com/story/news/2023/05/05/apple-valleys-amc-classic-movie-theater-permanently-closed/70186413007/
Apple doesn't have plans for big layoffs CEO Tim Cook told CNBC while discussing the company's earnings on Thursday.2 days ago, https://www.cnbc.com/2023/05/04/apple-layoffs-are-a-last-resort-tim-cook-says.html
Apple (AAPL) announced its fiscal Q2 earnings after the bell on Thursday beating analysts' expectations on better-than-expected iPhone...2 days ago, https://finance.yahoo.com/news/apple-q2-earnings-141710458.html
Apple has deployed its first Rapid Security Response following recent security threats but users should continue to use antivirus...1 day ago, https://www.foxnews.com/tech/apple-pushes-first-ever-rapid-security-response-update-what-you-should-know
Yesterday's Apple Q2 2023 earnings report revealed that the company saw a year-on-year fall in revenue. But while this might sound like bad...2 days ago, https://9to5mac.com/2023/05/05/apple-q2-2023-earnings/
This includes press releases and other information about financial performance reports filed or furnished with the SEC information on...2 days ago, https://www.apple.com/newsroom/2023/05/apple-reports-second-quarter-results/
Apple's latest quarterly earnings report comes amid a sharp decline in PC and smartphone sales globally after a surge earlier in the pandemic.2 days ago, https://www.cnn.com/2023/05/04/tech/apple-earnings/index.html
For more information visit apple.com/tvpr and see the full list of supported devices. Press Contacts. Sam Citron. Apple. citron@apple.com.2 days ago, https://www.apple.com/newsroom/2023/05/apple-music-live-returns-for-a-brand-new-season-with-ed-sheeran/
The four-time Grammy winner's performance of his 14-track album will also be streamed on Apple TV+. The announcement comes a day after a New...2 days ago, https://apnews.com/article/ed-sheeran-subtract-performance-apple-music-60e49e3f916bb5e84d806e93e504747d
AirPods · App Store · Apple Arcade · Apple TV+ · Company News · Education · Environment · Events · Health · iPad · iPhone · Mac · Music...3 days ago, https://www.apple.com/newsroom/2023/05/apple-launches-20-fun-new-games-for-its-award-winning-apple-arcade-service/
There was less good news about Apple's more established markets. Sales fell in the Americas Japan and the all-important China...5 hours ago, https://www.bloomberg.com/news/newsletters/2023-05-07/apple-aapl-sales-growth-to-come-from-emerging-markets-like-india-uae-mexico-lhdguo6g
